COD_ALUMNO,SEXO,EDAD,ESTADO,SEM_CURSADOS,CANT_RESERVAS,NOTA,APROBO,CREDITOS,HRS_INASISTENCIA,HRS_CURSO,PRCTJE_INASISTENCIA,PONDERADO,BECA_VIGENTE,IDH,POR_POBREZA,POR_POBREZA_EXTREMA,PROP_OBLIGATORIOS,CAMBIO_RENDIMIENTO,y
2041,M,34,Retirado,1,0,10.8,0.57,22,13,432,30.71,9.8,0,0.6739,6.4,0.5,1.0,2.4399999999999995,0
2106,F,36,Retirado,1,0,0.04,0.0,22,317,432,30.71,0.03,0,0.7622,0.7,0.0,1.0,2.4399999999999995,0
2385,M,36,Separado,1,0,2.61,0.0,22,115,432,30.71,2.49,0,0.6591,8.2,0.2,1.0,2.4399999999999995,0
2387,M,34,Separado,1,0,5.19,0.0,22,74,432,30.71,4.87,0,0.7622,0.7,0.0,1.0,2.4399999999999995,0
2392,F,17,Abandono,1,0,12.53,0.57,22,22,432,30.71,12.44,0,0.4906,34.8,21.8,1.0,2.4399999999999995,0
2397,F,17,Abandono,1,7,11.17,0.57,22,17,432,30.71,10.59,0,0.7622,0.7,0.0,1.0,2.4399999999999995,0
2413,M,17,Separado,1,0,3.03,0.0,22,146,432,30.71,2.66,0,0.4906,34.8,21.8,1.0,2.4399999999999995,0
2509,M,36,Separado,1,0,7.25,0.0,22,6,432,30.71,7.01,0,0.6695,6.2,0.7,1.0,3.0299999999999994,0
2530,M,34,Separado,1,42,0.21,0.0,22,297,486,30.0,0.2,0,0.7622,0.7,0.0,1.0,3.0299999999999994,0
2534,F,34,Abandono,1,7,8.96,0.29,22,0,432,30.71,8.55,0,0.7622,0.7,0.0,1.0,3.0299999999999994,0
2566,M,35,Separado,1,0,7.91,0.14,22,63,432,30.71,7.49,0,0.7622,0.7,0.0,1.0,3.0299999999999994,0
2573,M,37,Separado,1,0,0.0,0.0,22,342,432,30.71,0.0,0,0.7622,0.7,0.0,1.0,-7.42,0
2581,M,17,Separado,1,0,6.9,0.0,22,19,432,30.71,6.97,0,0.4906,34.8,21.8,1.0,-7.42,0
2643,F,17,Separado,1,0,7.43,0.14,22,27,432,30.71,6.83,0,0.4906,34.8,21.8,1.0,-7.42,0
2683,F,17,Separado,1,0,0.91,0.0,22,312,432,30.71,0.75,0,0.4906,34.8,21.8,1.0,-7.42,0
2702,F,17,Abandono,1,0,14.79,1.0,2,5,48,31.0,14.79,0,0.7622,0.7,0.0,1.0,-7.42,0
2881,M,39,Egresado,15,79,14.16,0.91,240,507,4922,30.06,14.1,0,0.7622,0.7,0.0,0.97,-13.239999999999998,1
2882,M,46,Abandono,6,23,14.24,0.87,74,65,1419,30.22,14.02,0,0.7622,0.7,0.0,1.0,2.6099999999999994,0
2883,F,37,Egresado,13,0,14.33,0.94,234,215,4872,30.06,14.33,0,0.6739,6.4,0.5,0.96,2.6099999999999994,1
2901,M,34,Egresado,12,0,15.23,0.97,221,292,4499,30.07,15.24,0,0.7622,0.7,0.0,0.99,2.6099999999999994,1
2902,M,36,Egresado,10,0,15.44,1.0,215,322,4513,30.07,15.42,0,0.6644,5.2,0.5,0.99,2.6099999999999994,1
2903,M,35,Egresado,12,0,15.72,0.97,221,263,4527,30.07,15.82,0,0.8326,0.1,0.0,0.99,2.6099999999999994,1
2904,F,35,Egresado,13,0,14.52,0.91,238,227,4914,30.06,14.44,0,0.7454,1.4,0.2,0.99,2.6099999999999994,1
2906,F,35,Egresado,13,73,13.38,0.9,222,232,4517,30.07,13.32,0,0.7622,0.7,0.0,0.99,2.6099999999999994,1
2907,M,35,Egresado,15,0,13.66,0.87,248,886,5258,30.06,13.61,0,0.6498,6.2,0.7,0.99,2.6099999999999994,1
2908,M,35,Egresado,12,0,14.9,0.97,223,308,4713,30.07,14.86,0,0.7622,0.7,0.0,0.99,2.6099999999999994,1
2909,M,36,Egresado,12,0,13.59,0.93,229,509,4849,30.07,13.58,0,0.6739,6.4,0.5,0.99,2.6099999999999994,1
2910,M,36,Abandono,14,0,13.26,0.9,238,598,4935,30.06,13.24,0,0.7622,0.7,0.0,0.97,2.6099999999999994,0
2911,M,35,Egresado,11,0,14.65,0.97,220,449,4584,30.07,14.62,0,0.7622,0.7,0.0,0.99,2.6099999999999994,1
2912,M,33,Egresado,14,0,14.36,0.85,253,807,5305,30.06,14.34,0,0.7454,1.4,0.2,0.99,2.6099999999999994,1
2913,M,34,Egresado,13,0,13.39,0.92,235,736,4848,30.06,13.37,0,0.7653,0.3,0.1,0.97,2.6099999999999994,1
2921,M,34,Egresado,16,0,13.55,0.89,248,587,5127,30.06,13.46,0,0.6739,6.4,0.5,0.98,8.200000000000001,1
2942,F,37,Egresado,19,0,11.99,0.7,261,829,5466,30.01,11.98,0,0.7454,1.4,0.2,0.99,8.200000000000001,1
